Price_ETB,Land_Sqft,House_Sqft,Kebele,Village,Sub_City,No_bed_room,Type_House,Parking,Longitude,Latitude,Dst_to_school,Dst_Health_Center
600000,250,50,chamo,mender2,secha,1,3,1,361039.22,601176.42,0.4,0.3
500000,250,35,berea edget ber,hospital,nech sar,1,3,0,329224.95,614037.48,0.1,0.2
700000,250,52,gurba,mikahel ,sikela,1,2,0,349050.72,621043.43,0.2,1.5
700000,200,41,chamo,mender3,secha,2,3,1,361039.22,601183.72,0.5,0.2
800000,300,48,dilfana,dilfana,sikela,1,3,1,349046.82,621049.43,0.5,0.2
600000,150,38,chamo,mender4,secha,1,3,0,361039.22,601182.72,0.3,0.5
150000,150,40,limat,mender6,abaya,1,3,0,359069.24,634049.55,0.7,0.6
900000,200,51,dilfana,biru tesfa,sikela,1,3,0,349047.82,621046.43,0.5,0.2
2000000,250,52,gurba,college,sikela,2,1,1,349084.79,625055.32,0.1,0.7
250000,150,33,limat,mender4,abaya,1,3,0,359068.24,634040.55,0.5,0.3
500000,250,53,doysa,tele,secha,2,2,1,361039.22,601186.72,0.5,0.2
650000,200,48,doysa,gotera,secha,2,2,1,361039.22,601179.42,0.2,0.1
350000,200,43,doysa,giya,secha,2,3,1,361039.22,601171.42,0.5,0.4
700000,250,54,gurba,mikahel ,sikela,2,2,1,349150.65,621022.34,0.4,1.2
700000,200,49,berea edget ber,konso,nech sar,2,1,1,329227.95,614036.48,0.9,0.5
400000,220,35,berea edget ber,kaba,nech sar,1,3,0,329130.75,610031.48,0.7,0.8
1500000,550,57,menharya,firdebet,sikela,2,3,1,349048.82,621044.43,0.7,0.2
350000,250,35,gurba,sheleko,sikela,1,3,0,349149.81,621027.34,0.2,1
500000,150,49,menharya,firdebet ,sikela,2,3,1,349043.82,621039.43,1,1
700000,250,49,menharya,menharya,sikela,2,3,0,349995.22,625613.29,1,0.2
400000,250,46,gurba,mikahel,sikela,1,3,1,349147.81,621019.34,0.4,1.2
750000,250,57,dilfana,dilfana,sikela,2,3,0,349044.82,621047.43,0.5,0.2
400000,250,56,doysa,giya,secha,2,3,1,361039.22,601174.42,0.5,0.4
500000,175,29,berea edget ber,hospital,nech sar,2,2,1,329226.95,614039.48,0.1,0.2
350000,205,27,limat,mender1,abaya,1,3,0,359062.24,634040.55,0.3,0.4
1200000,250,48,gurba,mikahel ,sikela,2,1,1,349052.72,621041.43,0.2,1.5
300000,150,41,limat,mender2,abaya,1,3,0,359070.24,634048.55,0.4,0.2
700000,250,50,doysa,timkete bahir,secha,2,2,1,361039.22,601180.72,0.2,0.3
300000,175,43,berea edget ber,kaba,nech sar,1,3,0,329030.75,610031.48,0.7,0.8
900000,250,78,gurba,college,sikela,2,1,1,349152.65,621024.34,0.1,0.7
750000,250,49,menharya,menharya,sikela,2,3,1,349990.32,625007.39,1,0.2
400000,200,51,berea edget ber,kaba,nech sar,2,2,1,329225.95,614038.48,0.7,0.8
250000,150,26,limat,mender3,abaya,1,3,0,359063.24,634043.55,0.4,0.2
1000000,398.12,65,weha minch,total,nech sar,2,3,1,339595.22,665013.29,1,0.2
830000,200,50,gurba,college,sikela,2,1,1,349153.65,621021.34,0.1,0.7
850000,408.93,65,weha minch,hawaryat,nech sar,2,3,1,339205.52,664605.33,0.1,0.25
500000,200,31,gurba,sheleko,sikela,1,2,1,349152.65,621023.34,0.2,1
700000,200,36,gurba,college,sikela,1,3,1,349148.81,621020.34,0.1,0.7
1700000,240,50,doysa,tv,secha,2,1,1,361039.22,601185.72,0.6,0.3
300000,205,24,limat,gebeya,abaya,1,3,0,359061.24,634046.55,0.7,0.6
